secteur;zone;usage_min;usage_max;renove_min;renove_max;neuf_min;neuf_max;source;date_reference
La Défense;IDF;200;460;280;550;300;600;CBRE;2026-01-01
Puteaux (hors Défense);IDF;180;300;210;380;340;450;CBRE;2026-01-01
Courbevoie (hors Défense);IDF;160;290;180;360;285;390;CBRE;2026-01-01
Nanterre (Préfecture/Université);IDF;170;280;220;340;310;430;CBRE;2026-01-01
Nanterre (autres);IDF;70;225;100;290;130;380;CBRE;2026-01-01
Rueil-sur-Seine;IDF;150;270;150;290;280;340;CBRE;2026-01-01
Reste Rueil-Malmaison;IDF;140;180;145;230;;;CBRE;2026-01-01
Neuilly-sur-Seine;IDF;320;575;370;650;470;715;CBRE;2026-01-01
Levallois-Perret;IDF;240;420;290;470;400;565;CBRE;2026-01-01
Suresnes;IDF;180;280;230;280;;;CBRE;2026-01-01
Saint-Cloud / Sèvres;IDF;180;230;200;270;290;300;CBRE;2026-01-01
Asnières;IDF;130;220;160;230;210;250;CBRE;2026-01-01
Gennevilliers;IDF;80;150;120;170;195;220;CBRE;2026-01-01
Clichy;IDF;150;250;200;310;330;430;CBRE;2026-01-01
Colombes / Bois-Colombes / La Garenne Colombes;IDF;135;210;170;280;275;360;CBRE;2026-01-01
Boulogne-Billancourt;IDF;200;420;300;490;390;550;CBRE;2026-01-01
Issy-les-Moulineaux;IDF;200;420;220;470;420;550;CBRE;2026-01-01
Meudon (hors Meudon la Forêt);IDF;150;200;250;300;340;350;CBRE;2026-01-01
Saint-Ouen;IDF;130;270;140;335;300;365;CBRE;2026-01-01
La Plaine St Denis;IDF;150;190;190;270;290;330;CBRE;2026-01-01
Reste Saint-Denis;IDF;80;180;110;230;185;290;CBRE;2026-01-01
Aubervilliers / Pantin;IDF;110;180;120;225;235;330;CBRE;2026-01-01
Bobigny;IDF;80;160;160;200;210;270;CBRE;2026-01-01
Montreuil (hors bas Montreuil) / Bagnolet;IDF;120;210;150;230;240;320;CBRE;2026-01-01
Vincennes / Saint-Mandé / Bas Montreuil;IDF;180;300;230;330;320;360;CBRE;2026-01-01
Charenton le Pont;IDF;180;200;230;270;250;270;CBRE;2026-01-01
St Maurice, Joinville;IDF;90;240;130;250;200;250;CBRE;2026-01-01
Créteil;IDF;110;140;130;190;180;215;CBRE;2026-01-01
Alfortville;IDF;150;170;200;220;210;220;CBRE;2026-01-01
Nogent sur Marne;IDF;90;240;130;250;200;250;CBRE;2026-01-01
Fontenay sous bois;IDF;150;190;160;210;230;300;CBRE;2026-01-01
Ivry-sur-Seine;IDF;135;190;150;250;230;275;CBRE;2026-01-01
Kremlin, Gentilly, Villejuif;IDF;140;200;200;260;270;380;CBRE;2026-01-01
Châtillon, Bagneux, Arcueil, Cachan;IDF;160;295;170;295;300;370;CBRE;2026-01-01
Vanves / Malakoff / Montrouge;IDF;170;290;200;415;300;450;CBRE;2026-01-01
Reste Hauts-de-Seine;IDF;130;190;130;200;200;210;CBRE;2026-01-01
Vélizy-Villacoublay / Meudon la Forêt;IDF;100;160;120;195;180;220;CBRE;2026-01-01
Vitry sur Seine / Choisy;IDF;120;150;150;180;195;200;CBRE;2026-01-01
Maison-Alfort;IDF;90;240;130;250;200;250;CBRE;2026-01-01
St-Maur, Champigny;IDF;120;175;180;200;;;CBRE;2026-01-01
Reste Val-de-Marne;IDF;110;140;130;150;160;200;CBRE;2026-01-01
Massy / Antony;IDF;120;200;150;220;180;240;CBRE;2026-01-01
Pôle Orly;IDF;90;175;130;220;180;220;CBRE;2026-01-01
Reste Essonne;IDF;80;120;100;140;120;240;CBRE;2026-01-01
Reste Yvelines;IDF;80;120;100;150;160;200;CBRE;2026-01-01
Saint-Quentin-en-Yvelines;IDF;80;160;110;200;150;245;CBRE;2026-01-01
Saint-Germain;IDF;80;120;140;200;;;CBRE;2026-01-01
Versailles;IDF;160;240;170;250;300;320;CBRE;2026-01-01
Bezons, Argenteuil;IDF;80;130;130;160;220;220;CBRE;2026-01-01
Cergy-Pontoise;IDF;80;130;100;150;180;220;CBRE;2026-01-01
Reste Val d'Oise;IDF;70;100;100;120;;;CBRE;2026-01-01
Marne-la-Vallée (hors Porte de Paris);IDF;90;170;115;170;160;250;CBRE;2026-01-01
Porte de Paris;IDF;80;160;130;200;170;230;CBRE;2026-01-01
Melun / Sénart;IDF;80;120;120;170;170;180;CBRE;2026-01-01
Reste Seine-et-Marne;IDF;90;110;130;160;;;CBRE;2026-01-01
Reste Seine-Saint-Denis;IDF;70;90;100;160;;;CBRE;2026-01-01
Paris Nord II;IDF;80;140;110;150;;;CBRE;2026-01-01
Roissy Pôle;IDF;140;160;120;180;180;200;CBRE;2026-01-01
1er (hors Vendôme);Paris;500;640;570;1000;600;1100;CBRE;2026-01-01
2e (hors Opéra/Madeleine);Paris;480;710;570;1045;620;1085;CBRE;2026-01-01
3e - 4e;Paris;400;680;450;680;630;880;CBRE;2026-01-01
5e - 6e;Paris;380;640;420;640;;;CBRE;2026-01-01
7e;Paris;435;650;510;950;780;1200;CBRE;2026-01-01
8e Ouest;Paris;450;900;550;1100;780;1200;CBRE;2026-01-01
8e Est-Europe;Paris;400;650;450;800;600;850;CBRE;2026-01-01
Madeleine / Opéra / Vendôme;Paris;500;950;550;1050;750;1250;CBRE;2026-01-01
9e Sud;Paris;460;750;500;870;700;1000;CBRE;2026-01-01
Reste 9e;Paris;450;720;450;780;650;865;CBRE;2026-01-01
10e;Paris;380;650;500;700;580;870;CBRE;2026-01-01
11e;Paris;330;620;360;620;600;785;CBRE;2026-01-01
12e Gare de Lyon - Bercy;Paris;350;570;430;630;500;620;CBRE;2026-01-01
12e Autres secteurs;Paris;300;530;330;530;570;570;CBRE;2026-01-01
13e Paris Rive Gauche (ZAC);Paris;380;450;480;570;520;730;CBRE;2026-01-01
13e Autres secteurs;Paris;280;380;300;450;410;550;CBRE;2026-01-01
14e;Paris;250;370;300;480;430;500;CBRE;2026-01-01
Pôle Montparnasse;Paris;260;500;350;580;450;720;CBRE;2026-01-01
15e;Paris;250;545;300;650;440;780;CBRE;2026-01-01
16e Sud;Paris;350;565;370;720;;;CBRE;2026-01-01
16e Nord;Paris;400;800;430;970;700;1075;CBRE;2026-01-01
17e Centre;Paris;420;720;500;750;600;1000;CBRE;2026-01-01
17e Est;Paris;250;350;280;385;420;650;CBRE;2026-01-01
18e;Paris;200;350;350;450;390;720;CBRE;2026-01-01
19e;Paris;240;360;280;465;400;500;CBRE;2026-01-01
20e;Paris;210;300;240;340;330;420;CBRE;2026-01-01
